,ID,Group,Feature_1,Feature_2,Feature_3
0,ID000,B,2187.0519397133876,409.43713896991295,4367.661747175851
1,ID001,A,2655.3220742018902,407.0248074389254,5929.377082187962
2,ID002,C,2909.120484209641,414.96522280401354,-2502.2337765948346
3,ID003,B,3095.593819047373,390.502084562625,6192.781434467699
4,ID004,B,2544.0453933159633,382.73286632955353,5097.507023782138
5,ID005,A,2559.802801854246,379.63198032514447,5769.427049054817
6,ID006,A,3044.5632023748753,378.7077974978943,7254.167072411106
7,ID007,A,2264.9536732148467,402.72034632822044,4769.749045340716
8,ID008,C,2737.358307378463,407.7110078806999,-2324.3656802469554
9,ID009,C,3100.0215406396874,394.9738858569991,-2701.844355041167
10,ID010,B,2042.9251895389903,373.8216302826665,4066.3642312811744
11,ID011,B,2651.6403766763833,415.68378153947475,5291.210592376507
12,ID012,B,2458.4129450175506,414.3186753532142,4897.366770680745
13,ID013,C,2698.586337687492,392.5174114997202,-2301.87396891578
14,ID014,B,2211.246027934378,395.8337460756005,4445.764955982075
15,ID015,B,2656.5363456135683,401.4276227593913,5326.690521716277
16,ID016,B,2835.1266048047078,398.62921325014787,5667.264247918235
17,ID017,B,1998.5355944273,422.1425605230092,3995.6322991890165
18,ID018,A,2711.701044154063,428.97151171027076,5980.532227695054
19,ID019,C,1878.6054222554976,394.36465492410497,-1473.0985725201729
20,ID020,C,2769.1964895087012,405.2635954433775,-2354.2153246495136
21,ID021,B,2825.6891610516645,374.4094549754085,5671.043585512272
22,ID022,A,2609.4668889927534,413.76544900286206,5756.021042652828
23,ID023,B,2135.7017779263642,412.4580238417828,4275.045329204811
24,ID024,A,2682.8957618657455,388.52028388129116,6105.613529814788
25,ID025,A,1930.0572044714688,400.37463119810036,3764.243637374346
26,ID026,B,2063.089964324171,400.19339911040333,4126.971799870344
27,ID027,B,2663.5438110955106,416.19067482477254,5308.933926767734
28,ID028,C,2538.9497268665737,403.7183350096217,-2134.8150195419726
29,ID029,B,2400.5392478177623,387.910565710775,4802.577911067454
30,ID030,B,2425.7517772923184,392.5043347034104,4855.351468407462
31,ID031,A,2684.125668231808,401.64994149922836,6032.152296812628
32,ID032,C,2309.6734801084463,400.1254070038558,-1892.822289394678
33,ID033,B,2346.304911866243,410.4369403642266,4700.574423870937
34,ID034,C,2341.7908214826944,403.64884975880994,-1952.6281773250987
35,ID035,C,2717.385898349917,408.36406677867194,-2289.698252510314
36,ID036,C,2724.767653327972,431.09192057712613,-2290.4180162560083
37,ID037,B,2112.8851508936837,401.3870747317398,4226.64237407155
38,ID038,A,2728.5116646691795,380.8538132450912,6286.1404880259515
39,ID039,A,1971.853525533561,387.4924725779024,3973.1322186474977
40,ID040,A,2789.568348021586,407.26816080670244,6346.354462122712
41,ID041,C,2336.4803975321042,396.0529673415577,-1931.762298649549
42,ID042,C,2048.293879671024,401.0220739998834,-1635.0429739726403
43,ID043,C,2009.246689203878,395.1829826872123,-1603.4770866685171
44,ID044,C,2970.561939934621,385.03236194339587,-2584.8347570248898
45,ID045,A,2718.2864605745194,410.75682291850296,6078.357012470378
46,ID046,C,1921.4522429053018,411.72901603996314,-1498.2418889355574
47,ID047,B,2255.9212161276473,382.3224590997546,4499.321719083493
48,ID048,C,2255.8369773091017,394.1538409174401,-1851.5843924319395
49,ID049,A,2598.2173554878777,391.1752351747124,5840.124678663069
50,ID050,A,2346.553876941571,433.7697514268135,4895.942206875706
51,ID051,A,2348.311201139291,418.76068361271615,4976.100812838403
52,ID052,B,2509.889899751762,401.2402959043444,5006.322483299968
53,ID053,C,2369.096149303606,350.23811177762946,-2022.2987560604438
54,ID054,C,2654.232856802055,413.4551191481407,-2257.610369020241
55,ID055,A,2553.1448347797964,393.20186438182236,5688.664595549499
56,ID056,B,2601.384209769698,404.9511808133296,5214.1115555205715
57,ID057,C,2709.145433562054,420.55604084586435,-2276.568272561678
58,ID058,C,2112.445652068143,415.7805681705286,-1698.6057893396812
59,ID059,B,2722.3714568691194,400.5191699832394,5440.877035493641
60,ID060,C,2988.8185270560707,407.866336490628,-2593.6769341222193
61,ID061,C,2702.733359639869,385.82131444271425,-2316.6689293463055
62,ID062,A,2981.5952947754695,412.7290499679482,6880.649494124219
63,ID063,B,2499.2939669716334,388.7952223413552,4999.964199241481
64,ID064,C,2194.708159182361,401.6097632847797,-1791.2480131190744
65,ID065,A,2551.9781725508587,428.39714433485915,5514.096041297566
66,ID066,C,2946.7402861998953,393.8596047130432,-2555.784497859384
67,ID067,C,2860.467894946287,406.9981937798958,-2453.617407806087
68,ID068,A,3124.04648062173,386.5994518490043,7430.464873189989
69,ID069,C,2699.375670296659,400.0960856603487,-2296.381961368677
70,ID070,C,2464.3633033275855,383.98411963392635,-2080.275655773902
71,ID071,A,1888.4077501471902,413.1463976816678,3593.310163890134
72,ID072,B,2330.668408270467,391.7700610894463,4641.892999495874
73,ID073,B,2396.7508482131707,397.4694836057064,4785.433833595819
74,ID074,A,2693.3395400617555,407.20086963959443,6043.1974155103835
75,ID075,C,3043.9702354984306,410.8323226708904,-2626.1959407051927
76,ID076,B,2572.8403298454778,388.96540571336647,5138.516763461479
77,ID077,B,2323.520581280327,381.2149369689658,4643.056664911981
78,ID078,C,2297.631350387968,410.7901587360877,-1896.1918986736391
79,ID079,B,2541.0090019864347,392.17376609611233,5089.024266938641
80,ID080,A,2685.142174749594,393.4620371005028,6064.680269594902
81,ID081,C,2142.2523684472253,367.34816509088023,-1755.9431709543999
82,ID082,C,2485.193971261944,406.0914744093419,-2072.7784474770037
83,ID083,B,2314.262522067638,416.0691222837825,4637.561375296642
84,ID084,A,2480.626963537023,414.18059729542045,5371.793049631186
85,ID085,B,2809.8295961799204,392.53872548537595,5608.722685549221
86,ID086,C,2662.1654573073647,404.2572513903063,-2233.6648014215975
87,ID087,C,2825.291572838276,397.92503087783325,-2433.974228831312
88,ID088,B,3335.116063641436,388.64327637771777,6679.312846264662
89,ID089,A,2742.7110938083056,388.88787031764656,6282.410797301534
90,ID090,B,2840.734665113398,394.57894316841384,5695.017689300764
91,ID091,A,2536.2555626933895,403.60114815551924,5600.0491973061635
92,ID092,B,2470.100346500787,388.62846066852893,4947.460645404041
93,ID093,B,2599.876913829153,396.7356228215717,5209.981756522834
94,ID094,A,2377.5786305282454,393.26939728052923,5168.231289316965
95,ID095,B,2362.1794175140017,423.18647599639917,4731.017730404362
96,ID096,A,2399.827799792549,418.1044941352008,5076.398717203692
97,ID097,B,1965.870236016418,393.2005932237028,3933.941642016854
98,ID098,C,2888.016405109913,402.5060304875931,-2493.015827451777
99,ID099,A,3061.8907469750648,402.95784664936696,7178.343959166245
100,ID100,A,2594.226810566814,409.22297879880796,5718.151582309425
101,ID101,A,1883.5679655549038,398.6217094040785,3678.5628926675345
102,ID102,A,2521.8216825322415,418.62207833587024,5466.371886813359
103,ID103,C,2540.911247740429,420.19310405022003,-2130.2831089575648
104,ID104,A,2633.4780552077905,407.10924379257085,5856.121890886832
105,ID105,B,2405.7624772723416,413.3016699786057,4814.431036110663
106,ID106,A,2184.9619070590215,422.83175118478084,4437.087811138452
107,ID107,B,2581.0330215891113,390.13643188364205,5154.330396421549
